OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,CostPrice,Revenue,Profit,Region
O000001,2025-12-06,C0475,P0026,4,322.99,202.7,1291.96,481.16,South
O000002,2025-07-13,C0286,P0122,3,545.52,397.9,1636.56,442.86,North
O000003,2025-11-28,C0183,P0038,1,426.15,246.86,426.15,179.29,East
O000004,2025-04-05,C0984,P0160,8,707.86,475.06,5662.88,1862.4,West
O000005,2024-02-11,C0034,P0193,1,493.23,296.85,493.23,196.38,North
O000006,2025-08-14,C0321,P0174,6,630.68,405.06,3784.08,1353.72,North
O000007,2024-09-29,C0548,P0076,5,357.25,231.85,1786.25,627.0,West
O000008,2024-01-08,C0946,P0136,8,261.36,225.73,2090.88,285.04,West
O000009,2024-02-05,C0614,P0182,3,15.47,10.02,46.41,16.35,North
O000010,2025-08-23,C0716,P0005,2,488.3,282.82,976.6,410.96,North
O000011,2025-03-10,C0334,P0134,10,407.32,299.75,4073.2,1075.7,South
O000012,2025-07-21,C0569,P0127,2,303.55,230.43,607.1,146.24,South
O000013,2025-11-21,C0543,P0195,9,138.21,117.6,1243.89,185.49,East
O000014,2025-10-12,C0057,P0104,3,542.4,432.85,1627.2,328.65,North
O000015,2025-12-21,C0210,P0182,3,14.8,10.02,44.4,14.34,South
O000016,2024-03-03,C0081,P0053,10,353.27,214.67,3532.7,1386.0,North
O000017,2025-08-30,C0411,P0187,6,525.93,292.87,3155.58,1398.36,West
O000018,2024-04-08,C0712,P0060,4,248.13,206.17,992.52,167.84,South
O000019,2025-10-24,C0121,P0123,7,80.59,46.97,564.13,235.34,West
O000020,2025-05-16,C0245,P0129,3,168.8,125.77,506.4,129.09,West
O000021,2024-02-12,C0992,P0011,5,108.79,66.79,543.95,210.0,West
O000022,2024-01-20,C0307,P0010,9,407.03,303.84,3663.27,928.71,East
O000023,2024-06-09,C0374,P0131,8,467.78,261.39,3742.24,1651.12,West
O000024,2025-08-22,C0086,P0146,3,411.29,241.1,1233.87,510.57,East
O000025,2025-08-17,C0677,P0125,9,182.93,158.66,1646.37,218.43,North
O000026,2025-08-12,C0099,P0096,1,125.54,81.5,125.54,44.04,North
O000027,2024-06-20,C0418,P0198,4,720.46,472.32,2881.84,992.56,South
O000028,2025-11-10,C0574,P0066,7,319.91,273.39,2239.37,325.64,South
O000029,2024-05-02,C0059,P0179,6,368.16,249.68,2208.96,710.88,East
O000030,2024-08-07,C0471,P0197,8,831.21,487.28,6649.68,2751.44,North
O000031,2024-05-13,C0552,P0153,10,491.71,333.18,4917.1,1585.3,South
O000032,2025-09-11,C0239,P0038,10,385.27,246.86,3852.7,1384.1,South
O000033,2024-09-05,C0061,P0099,10,107.11,83.8,1071.1,233.1,South
O000034,2024-09-05,C0791,P0098,8,757.21,462.62,6057.68,2356.72,North
O000035,2025-11-06,C0184,P0192,9,161.22,112.11,1450.98,441.99,South
O000036,2025-10-31,C0123,P0180,7,182.79,110.0,1279.53,509.53,North
O000037,2025-07-07,C0922,P0095,6,626.81,391.16,3760.86,1413.9,West
